GarageType_target_enc,1stFlrSF,Foundation_target_enc,Neighborhood_target_enc,MSSubClass_target_enc,GrLivArea,TotalBsmtSF,GarageArea,SalePrice
199024.493440907,856,221947.83308264185,192647.25239517997,235462.46639557104,1710,856,548,208500
200966.5984431964,1262,147693.47573999345,210585.46712976947,183220.12629763645,1262,1262,460,181500
199024.493440907,920,221947.83308264185,192647.25239517997,235462.46639557104,1786,920,608,223500
132483.46274086222,961,128045.18682394264,210215.05403865472,169225.31207201458,1717,756,642,140000
199231.7335432684,1145,219254.5623316537,281898.0769641446,231856.49381278292,2198,1145,836,250000
198054.58963262377,796,189699.42330279545,158287.10317765392,141402.59631853417,1362,796,480,143000
199024.493440907,1694,221947.83308264185,223318.84301118867,182466.04765618735,1694,1686,636,307000
199024.493440907,1107,147213.0388465542,185661.1355526472,235462.46639557104,2090,1107,484,200000
131681.9093723326,1022,127749.94283023692,123854.84616826354,144219.44051125445,1774,952,468,129900
199024.493440907,1077,129001.85433466172,130909.62326156678,135846.55132722575,1077,991,205,118000
132483.46274086222,1040,149050.0543191652,140802.4423302795,181191.80511917887,1040,1040,384,129500
246810.20999752395,1182,219254.5623316537,301127.32602883765,231856.49381278292,2324,1175,736,345000
132483.46274086222,912,149050.0543191652,140802.4423302795,181191.80511917887,912,912,352,144000
200966.5984431964,1494,220233.78524049476,199396.8118447444,183220.12629763645,1494,1494,840,279500
200966.5984431964,1253,147693.47573999345,146812.37314815892,183220.12629763645,1253,1253,352,157000
132928.52869783103,854,127085.6141448518,128136.47191955333,130253.1026544515,854,832,576,132000
199231.7335432684,1004,149705.90633027573,147869.98077675982,183483.42335687476,1004,1004,480,149000
140504.62831806438,1296,122867.23082569886,140403.04096478663,137125.33045038118,1296,0,516,90000
132928.52869783103,1114,219254.5623316537,184228.61079633544,183483.42335687476,1114,1114,576,159000
199231.7335432684,1339,149705.90633027573,147869.98077675982,183483.42335687476,1339,1029,294,139000
238894.03479201056,1158,220233.78524049476,298395.18612607697,231431.2289061408,2376,1158,853,325300
200966.5984431964,1108,220233.78524049476,113002.39186927414,129913.1026544515,1108,637,280,139400
199231.7335432684,1795,219254.5623316537,198674.86569089824,183483.42335687476,1795,1777,534,230000
199343.5230126496,1060,222006.88135099763,118168.53373854829,200818.9299976509,1060,1040,572,129900
199231.7335432684,1060,149705.90633027573,140403.04096478663,183483.42335687476,1060,1060,270,154000
199024.493440907,1600,221947.83308264185,309315.89905963704,182466.04765618735,1600,1566,890,256300
131681.9093723326,900,147693.47573999345,146812.37314815892,183220.12629763645,900,900,576,134800
199024.493440907,1704,221947.83308264185,309315.89905963704,182466.04765618735,1704,1704,772,306000
199024.493440907,1600,147213.0388465542,144825.90905976115,182466.04765618735,1600,1484,319,207500
134839.8474490496,520,128261.75945287976,127901.58977370606,104328.52749672809,520,520,240,68500
134839.8474490496,649,128261.75945287976,114241.17870376684,174938.83079633545,1317,649,250,40000
199343.5230126496,1228,148643.92967309544,137994.26253677416,182388.8759624519,1228,1228,271,149350
199343.5230126496,1234,222006.88135099763,199143.01953705208,182388.8759624519,1234,1234,484,179900
199024.493440907,1700,147213.0388465542,144825.90905976115,182466.04765618735,1700,1398,447,165500
200966.5984431964,1561,220233.78524049476,298395.18612607697,201987.54281432077,1561,1561,556,277500
246810.20999752395,1132,219254.5623316537,301127.32602883765,231856.49381278292,2452,1117,691,309000
199231.7335432684,1097,219254.5623316537,198674.86569089824,183483.42335687476,1097,1097,672,145000
200966.5984431964,1297,147693.47573999345,146812.37314815892,183220.12629763645,1297,1297,498,153000
132928.52869783103,1057,149705.90633027573,147869.98077675982,183483.42335687476,1057,1057,246,109000
108907.75843463709,1152,218004.40229801767,130706.2992660582,138138.85317765392,1152,0,0,82000
200966.5984431964,1324,147693.47573999345,146812.37314815892,183220.12629763645,1324,1088,440,160000
199231.7335432684,1328,149705.90633027573,218238.2754779604,183483.42335687476,1328,1350,308,170000
199231.7335432684,884,149705.90633027573,184228.61079633544,153185.54951508442,884,840,504,144000
134839.8474490496,938,148643.92967309544,199143.01953705208,182388.8759624519,938,938,308,130250
199343.5230126496,1150,148643.92967309544,145089.99745755122,182388.8759624519,1150,1150,300,141000
199024.493440907,1752,221947.83308264185,309315.89905963704,200260.48719755697,1752,1752,576,319900
199231.7335432684,1518,219254.5623316537,158052.54052149403,143514.61725658685,2149,1434,670,239686
199024.493440907,1656,221947.83308264185,223318.84301118867,182466.04765618735,1656,1656,826,249700
108907.75843463709,736,128045.18682394264,124586.76106188056,133829.8615926709,1452,736,0,113000
199343.5230126496,955,148643.92967309544,137994.26253677416,182388.8759624519,955,955,386,127000
199231.7335432684,794,219254.5623316537,192877.39029142316,231856.49381278292,1470,794,388,177000
134839.8474490496,816,222006.88135099763,127901.58977370606,143275.60846681776,1176,816,528,114500
135988.88767821327,816,147213.0388465542,115911.07696414462,137477.1086238583,816,816,516,110000
131681.9093723326,1360,147693.47573999345,146812.37314815892,169414.93079633545,1360,384,572,130000
198054.58963262377,1425,149050.0543191652,147021.18032159554,181191.80511917887,1425,1425,576,180500
199024.493440907,983,221947.83308264185,223318.84301118867,142661.48254212315,1739,970,480,172500
199343.5230126496,860,222006.88135099763,199143.01953705208,234883.5588687686,1720,860,565,196500
133844.6523712076,780,147213.0388465542,192647.25239517997,182466.04765618735,780,780,352,124900
134839.8474490496,1158,222006.88135099763,182892.8885676892,182388.8759624519,1158,1158,576,158000
132483.46274086222,581,128045.18682394264,110410.75828047922,161835.46712976947,1111,530,288,101000
199024.493440907,1370,221947.83308264185,309315.89905963704,200260.48719755697,1370,1370,484,202500
132928.52869783103,902,127085.6141448518,120641.53847626928,163674.93345801486,1710,576,480,140000
199024.493440907,1057,221947.83308264185,192647.25239517997,235462.46639557104,2034,1057,645,219500
252134.6390741042,1143,222006.88135099763,308174.0814678937,234883.5588687686,2473,1143,852,317000
200966.5984431964,2207,147693.47573999345,146812.37314815892,183220.12629763645,2207,1947,576,180000
199343.5230126496,1479,222006.88135099763,199143.01953705208,182388.8759624519,1479,1453,558,226000
198054.58963262377,747,149050.0543191652,124586.76106188056,105740.6362680809,747,747,220,80000
199343.5230126496,1304,148643.92967309544,194481.6609007624,143275.60846681776,2287,1304,667,225000
199231.7335432684,2223,149705.90633027573,147869.98077675982,183483.42335687476,2223,2223,516,244000
133844.6523712076,845,147213.0388465542,161837.9660422505,182466.04765618735,845,845,360,129500
199343.5230126496,885,222006.88135099763,189995.3934259539,234883.5588687686,1718,832,427,185000
199024.493440907,1086,147213.0388465542,144825.90905976115,182466.04765618735,1086,1086,490,144900
133844.6523712076,840,147213.0388465542,121639.14413582496,143130.0908604894,1605,840,379,107400
246810.20999752395,526,149705.90633027573,119810.9188787096,133861.2722935979,988,462,297,91000
132928.52869783103,952,149705.90633027573,147869.98077675982,183483.42335687476,952,952,283,135750
132928.52869783103,1072,149705.90633027573,128136.47191955333,143514.61725658685,1285,672,240,127000
108956.66477338466,1768,148643.92967309544,137994.26253677416,138616.92637908028,1768,1768,0,136500
133844.6523712076,682,221947.83308264185,121639.14413582496,143130.0908604894,1230,440,440,110000
199343.5230126496,1182,148643.92967309544,145089.99745755122,234883.5588687686,2142,896,509,193500
199024.493440907,1337,221947.83308264185,161837.9660422505,200260.48719755697,1337,1237,405,153500
199024.493440907,1563,221947.83308264185,223318.84301118867,182466.04765618735,1563,1563,758,245000
